RoomNo,Events,Action1,Location,action2,Location,Action3,Location,Action4,Location,Action4,Location,Action4,Location,,,,,,
22,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
23,RecoverRoom,React,0,Move,2.83|-11.16,Animation,Protagonist|Recover,Recover,40,,,,,,,,,,
24,EventRoom,React,0,Dialogue,StrangePicture_1,Move,7.4|-10.35,Animation,Protagonist|Pick,Dialogue,StrangePicture_2,,,,,,,,
25,EventRoom,React,0,Dialogue,DiscoverRoomMove_1,Move,7.4|-10.35,Animation,Protagonist|Pick,Dialogue,DiscoverRoomMove_2,,,,,,,,
26,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
27,EventRoom,React,0,Dialogue,HalfCrazyAdventurer,,,,,,,,,,,,,,
28,RecoverRoom,React,0,Move,2.83|-11.16,Animation,Protagonist|Recover,Recover,40,Dialogue,RecoverChat_2,,,,,,,,
29,EventRoom,React,0,Dialogue,OldManInjured_1,Move,4.07|-9.87,Animation,Protagonist|Pick,Dialogue,OldManInjured_2,,,,,,,,
30,EventRoom,React,0,Dialogue,LotsOfSkeletons,,,,,,,,,,,,,,
31,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
32,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
33,EventRoom,React,0,Dialogue,FriendlyMonster,,,,,,,,,,,,,,
34,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
35,EventRoom,React,0,Dialogue,FriendlyMonster,,,,,,,,,,,,,,
36,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
37,EventRoom,React,0,Dialogue,StudyFruit_1,Move,7.4|-10.35,Animation,Protagonist|Pick,Dialogue,StudyFruit_2,,,,,,,,
38,EventRoom,React,0,Dialogue,OldManDead_1,Move,7.58|-9.65,Animation,Protagonist|Pick,Dialogue,OldManDead_2,,,,,,,,
39,RecoverRoom,React,0,Move,2.83|-11.16,Animation,Protagonist|Recover,Recover,50,Dialogue,RecoverChat_3,,,,,,,,
40,EventRoom,React,0,Dialogue,AnchorDead,,,,,,,,,,,,,,
41,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
42,EventRoom,React,0,Dialogue,AnchorDead,,,,,,,,,,,,,,
43,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
44,EventRoom,React,0,Dialogue,RobotSkeleton_1,Move,3.91|-10.91,Dialogue,RobotSkeleton_2,,,,,,,,,,
45,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
46,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
47,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
48,CombatRoom,React,0,Move,6.49|-11.21,Combat,Enemy_1|5|5,,,,,,,,,,,,
49,EventRoom,React,0,Dialogue,MysteriousMachine,,,,,,,,,,,,,,
50,RecoverRoom,React,0,Move,2.83|-11.16,Animation,Protagonist|Recover,Recover,60,,,,,,,,,,
51,EventRoom,React,0,Dialogue,ParentsSkeletons_1,Move,7.4|-10.35,Animation,Protagonist|Pick,Dialogue,ParentsSkeletons_2,,,,,,,,
52,EventRoom,Dialogue,CopyFatherSkeleton_1,Move,7.4|-10.35,Animation,Protagonist|Pick,Dialogue,CopyFatherSkeleton_2,,,,,,,,,,
53,CombatRoom,Dialogue,CopyMotherCombat_1,Move,6.49|-11.21,Combat,Enemy_1|10|9,Dialogue,CopyMotherCombat_2,,,,,,,,,,
54,EndRoom,Dialogue,End_1_1,Move,-8.5|-6.33,Animation,Protagonist|Break,Animation,JadePendant|Split,Move,3.92|-8.92,Animation,TruePlayer|StandUp,Dialogue,End_1_2,TrustUp,3,End,0
